"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","URL"
"1","Pack Relatos de la Mujer Borracha - Mart...","Martina Cañas","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",23990,5,20,786,"Tapa Blanda","https://www.linio.cl/p/pack-relatos-de-la-mujer-borracha-martina-can-as-legu7s"
"2","Sol De Medianoche...","Martina Cañas","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",16290,5,43,NA,NA,"https://www.linio.cl/p/sol-de-medianoche-jp04qn"
"3","HARRY POTTER Y EL PRISIONERO DE AZ...","J.K. Rowling","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",9090,5,28,360,"Tapa Blanda","https://www.linio.cl/p/harry-potter-y-el-prisionero-de-azkaban-s31ws4"
"4","HARRY POTTER Y EL CALIZ DE FUEGO...","Rowling, J. K.","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",16290,5,16,640,"Tapa Dura","https://www.linio.cl/p/harry-potter-y-el-caliz-de-fuego-v9fd6c"
"5","BlackPink: Las Reinas del K-Pop...","Rowling, J. K.","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",9690,5,14,NA,NA,"https://www.linio.cl/p/blackpink-las-reinas-del-k-pop-opc9jm"
"6","Somos polvo de estrellas...","Jose Maria Maza Sancho","Editorial Planeta Chilena SA",10190,5,18,96,"Tapa Blanda","https://www.linio.cl/p/somos-polvo-de-estrellas-lelfb2"
"7","Gravity Falls. Diario 3...","Disney Publishing Worldwide","EDITORIAL PLANETA CHILENA SA",9390,5,2,288,"Tapa Blanda","https://www.linio.cl/p/gravity-falls-diario-3-ynygl8"
"8","La guia para la vida de las amikas...","MARIA JOSE CASTRO Y VALERIA LUNA","Editorial Planeta Chilena SA",11390,5,15,184,"Tapa Blanda","https://www.linio.cl/p/la-guia-para-la-vida-de-las-amikas-toqwfx"
"9","DEJATE LLEVAR...","Dessen, Sarah","Editorial Planeta Chilena SA",11490,5,2,NA,NA,"https://www.linio.cl/p/dejate-llevar-jqmvni"
"10","HARRY POTTER Y LAS RELIQUIAS DE LA...","J.K. Rowling","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",12090,5,13,640,"Tapa Blanda","https://www.linio.cl/p/harry-potter-y-las-reliquias-de-la-muerte-lgwit0"
"11","HARRY POTTER Y EL CALIZ DE FUEGO...","J.K Rowling","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",12090,5,26,640,"Tapa Blanda","https://www.linio.cl/p/harry-potter-y-el-caliz-de-fuego-qfikac"
"12","HARRY POTTER Y LA CAMARA SECRETA...","J.K. Rowling","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",8390,5,31,288,"Tapa Blanda","https://www.linio.cl/p/harry-potter-y-la-camara-secreta-tql99w"
"13","LEAGUE OF LEGENDS. REINOS DE RUNETERRA...","RIOT GAMES","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",14490,5,1,264,"Tapa Blanda","https://www.linio.cl/p/league-of-legends-reinos-de-runeterra-tmidg9"
"14","We ona Tu Podi Editorial Planeta...","RIOT GAMES","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",8590,0,0,NA,NA,"https://www.linio.cl/p/we-ona-tu-podi-editorial-planeta-ostl4m"
"15","Antes de ti...","Jojo Moyes","Penguin",8390,5,8,496,"Tapa Blanda","https://www.linio.cl/p/antes-de-ti-lepmje"
"16","HARRY POTTER Y EL MISTERIO DEL PRINCIPE...","Rowling, J. K.","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",15690,5,10,608,"Tapa Blanda","https://www.linio.cl/p/harry-potter-y-el-misterio-del-principe-oquktw"
"17","HARRY POTTER Y LAS RELIQUIAS DE LA MUERT...","Rowling, J. K.","PENGUIN RANDOM HOUSE GRUPO EDITORIAL SA",16290,5,14,704,"Tapa Dura","https://www.linio.cl/p/harry-potter-y-las-reliquias-de-la-muerte-s3pkmi"
"18","Los Compas y la camara  del tiempo...","EL TROLLINO | TIMBA VK | MIKECRACK","Editorial Planeta Chilena SA",10790,5,23,224,"Tapa Blanda","https://www.linio.cl/p/los-compas-y-la-camara-del-tiempo-toszak"
"19","Enola Holmes 2 Y El Sorprendente Caso...","Nancy Springer;","PENGUIN RANDOM HOUSE GRUPO EDITORIAL S.A",9690,5,4,72,"Tapa Dura","https://www.linio.cl/p/enola-holmes-2-y-el-sorprendente-caso-de-lady-alistair-qbf3oy"
"20","A todos los chicos de los que me enamor<U+FFFD>...","Jenny Han","PLANETA",14390,5,5,384,"Tapa Blanda","https://www.linio.cl/p/a-todos-los-chicos-de-los-que-me-enamore--vckbji"
"21","La Cura Mortal - Maze Runner Edición Es...","James Dashner","Zig Zag SA",3790,5,7,328,NA,"https://www.linio.cl/p/la-cura-mortal-maze-runner-edicio-n-especial-opv7q4"
"22","Maze Runner Prueba de Fuego...","James Dashner","VERGARA & RIBA EDITORAS",5190,4,8,391,"Tapa Blanda","https://www.linio.cl/p/maze-runner-prueba-de-fuego-qescmo"
